id,name,gender,DOB,MaritalStatus,CreditCardType
1,Damaris,Female,18/02/1973,false,visa-electron
2,Barbe,Female,10/04/1969,true,americanexpress
3,Belia,Female,16/04/1960,false,maestro
4,Leoline,Female,19/01/1995,true,bankcard
5,Valentine,Female,16/04/1992,false,
6,Rosanne,Female,05/01/1985,true,bankcard
7,Shalna,Female,01/11/1956,false,jcb
8,Mordy,Male,27/03/1990,true,china-unionpay
9,Tristan,Male,05/10/1998,true,
10,Alphonso,Male,10/08/1992,false,mastercard
11,Hirsch,Male,13/02/1973,false,
12,Kirstyn,Female,28/06/1989,false,bankcard
13,Benson,Male,19/10/1959,true,switch
14,Florry,Female,11/11/1993,true,diners-club-international
15,Jenine,Female,16/02/1957,false,diners-club-enroute
16,Hortense,Female,17/12/1993,false,jcb
17,Zulema,Female,27/09/1990,false,jcb
18,Leoline,Female,02/02/1990,false,visa-electron
19,Bayard,Male,11/01/1997,false,jcb
20,Joanne,Female,01/02/1996,false,maestro
21,Marlee,Female,28/11/1994,false,
22,Mitchell,Male,09/03/1993,false,maestro
23,Jefferey,Male,19/09/1999,false,jcb
24,Jolee,Female,14/04/1951,false,jcb
25,Selma,Female,14/08/1958,false,mastercard
26,Pavlov,Male,24/12/1971,true,jcb
27,Willi,Male,29/09/1999,false,diners-club-enroute
28,Vi,Female,25/09/1988,false,laser
29,Teodoro,Male,02/03/1969,false,jcb
30,Loralyn,Female,27/11/1953,false,
31,Carlen,Female,01/08/1964,true,jcb
32,Walden,Male,27/10/1968,false,jcb
33,Phillie,Female,07/09/1976,false,diners-club-enroute
34,Dicky,Male,15/06/1956,true,
35,Antonietta,Female,01/05/1986,false,americanexpress
36,Natasha,Female,15/01/1952,true,diners-club-enroute
37,Tadeas,Male,12/10/1973,false,jcb
38,Vyky,Female,03/08/1986,false,maestro
39,Estevan,Male,22/08/1966,false,jcb
40,Andrey,Male,18/11/1952,false,diners-club-enroute
41,Leonidas,Male,28/01/1972,true,maestro
42,Blinnie,Female,22/08/1957,false,
43,Randolf,Male,23/04/1951,false,bankcard
44,Maurene,Female,04/08/1975,true,jcb
45,Sky,Male,08/06/1991,true,laser
46,Kaspar,Male,06/12/1981,false,
47,Noll,Male,26/01/1957,true,mastercard
48,Haley,Male,10/11/1980,true,diners-club-carte-blanche
49,Orran,Male,15/07/1977,true,jcb
50,Jonas,Male,07/01/1976,true,diners-club-carte-blanche
51,Flori,Female,12/01/1978,false,china-unionpay
52,Casey,Male,21/03/1988,false,jcb
53,Candie,Female,12/06/1963,false,maestro
54,Marve,Male,26/07/1998,false,
55,Corette,Female,27/08/1972,true,jcb
56,Christy,Female,14/07/1995,true,china-unionpay
57,Ronnica,Female,31/05/1986,false,diners-club-enroute
58,Augy,Male,25/11/1966,true,jcb
59,Cori,Male,27/03/1969,true,mastercard
60,Boigie,Male,30/06/1989,true,jcb
61,Isac,Male,23/06/1957,true,bankcard
62,Sigismond,Male,17/06/1951,true,
63,Steffie,Female,28/10/1998,false,jcb
64,Mario,Male,22/06/1989,false,jcb
65,Halli,Female,16/06/1959,true,diners-club-enroute
66,Nada,Female,23/08/2000,true,jcb
67,Jeanne,Female,16/11/1987,true,laser
68,Jess,Female,26/07/1962,true,mastercard
69,Lyda,Female,17/03/1970,false,
70,Jobyna,Female,15/09/1967,true,diners-club-enroute
71,Jaclyn,Female,29/04/1999,true,switch
72,Sibel,Female,16/08/1981,false,jcb
73,Dodi,Female,02/10/1995,true,americanexpress
74,Eydie,Female,23/06/1979,false,jcb
75,Gauthier,Male,11/02/1967,true,
76,Mala,Female,21/11/1995,true,visa-electron
77,Lorelei,Female,18/12/2000,false,americanexpress
78,Marillin,Female,18/12/1973,true,
79,Christabella,Female,22/04/1998,true,mastercard
80,Julietta,Female,15/11/1984,false,switch
81,Hieronymus,Male,11/09/1961,true,jcb
82,Brandea,Female,02/06/1967,true,americanexpress
83,Norma,Female,20/01/1984,true,switch
84,Jarred,Male,10/03/1952,false,americanexpress
85,Rustin,Male,02/07/1959,true,jcb
86,Kris,Male,17/08/1974,true,jcb
87,Cristie,Female,19/04/1953,true,diners-club-carte-blanche
88,Maxine,Female,17/03/1979,true,mastercard
89,Karlis,Male,08/04/1975,false,jcb
90,Othella,Female,26/03/1993,false,mastercard
91,Orsola,Female,11/10/1991,true,diners-club-enroute
92,Maximilianus,Male,01/05/1992,false,jcb
93,Denny,Male,15/01/1991,false,jcb
94,Judas,Male,28/06/2000,false,americanexpress
95,Nicholle,Female,04/07/1970,true,china-unionpay
96,Jewelle,Female,05/03/1982,false,jcb
97,Sanford,Male,25/01/1987,false,diners-club-us-ca
98,Ailey,Female,20/12/1977,true,visa-electron
99,Margy,Female,09/09/1951,false,jcb
100,Nero,Male,11/07/1984,true,bankcard
101,Finlay,Male,01/04/1983,false,mastercard
102,Esme,Female,09/05/1953,true,bankcard
103,Ber,Male,01/04/1997,true,china-unionpay
104,Merill,Male,20/10/1994,false,china-unionpay
105,Darell,Female,14/06/1986,false,mastercard
106,Lela,Female,24/12/1959,true,mastercard
107,Felicle,Female,17/11/1956,false,mastercard
108,Kattie,Female,25/10/1964,false,jcb
109,Mayer,Male,09/09/1990,false,jcb
110,Hamlen,Male,13/12/1992,false,visa-electron
111,Erasmus,Male,26/12/1964,false,jcb
112,Wadsworth,Male,26/09/1996,false,visa-electron
113,Aleece,Female,01/05/1961,true,americanexpress
114,Velma,Female,08/03/1990,false,jcb
115,Elmira,Female,01/06/1952,true,bankcard
116,Bernardo,Male,09/06/1958,true,visa
117,Nevins,Male,21/05/1969,false,
118,Brose,Male,05/09/1987,false,diners-club-enroute
119,Rozalie,Female,24/12/1990,false,mastercard
120,Opalina,Female,27/03/1954,true,jcb
121,Ange,Female,28/10/1980,true,jcb
122,Glyn,Male,26/02/1970,true,americanexpress
123,Farrel,Male,22/06/1978,true,
124,Berkeley,Male,11/12/1964,false,maestro
125,Stanleigh,Male,02/02/1958,false,maestro
126,Verge,Male,06/07/1958,false,americanexpress
127,Claudine,Female,24/04/1987,true,jcb
128,Hendrik,Male,16/09/1990,false,mastercard
129,Salomi,Female,23/08/1951,true,laser
130,Tucky,Male,27/08/1969,true,mastercard
131,Janka,Female,02/02/1991,false,maestro
132,Toni,Female,12/12/1969,true,jcb
133,Pepito,Male,09/11/1961,true,jcb
134,Faythe,Female,27/04/1992,true,maestro
135,Kevyn,Female,21/05/1969,true,americanexpress
136,Harald,Male,26/09/1952,false,maestro
137,Cacilie,Female,25/12/1973,true,jcb
138,Woodman,Male,11/10/1977,false,americanexpress
139,Devina,Female,24/07/1966,true,jcb
140,Culley,Male,10/12/1965,false,diners-club-enroute
141,Marena,Female,02/07/1950,true,mastercard
142,Ingeborg,Female,14/12/1954,false,maestro
143,Cori,Male,06/05/1956,true,solo
144,Vanya,Male,22/02/1984,true,jcb
145,Oliver,Male,25/10/1956,false,diners-club-enroute
146,Cal,Female,14/05/1999,true,diners-club-enroute
147,Carter,Male,22/09/1965,false,americanexpress
148,Fraze,Male,05/05/1986,true,mastercard
149,Simon,Male,19/02/1980,true,mastercard
150,Glenn,Female,31/12/1995,true,china-unionpay
151,Felizio,Male,07/04/1952,true,jcb
152,Gery,Male,30/10/1955,true,mastercard
153,Mercie,Female,11/05/1964,false,
154,Ferdie,Male,12/06/2000,true,diners-club-enroute
155,Joannes,Female,10/06/1990,true,china-unionpay
156,Hanni,Female,01/01/1953,false,jcb
157,Eddie,Male,28/05/1966,false,bankcard
158,Enriqueta,Female,11/03/1951,false,china-unionpay
159,Rodge,Male,06/03/1955,true,jcb
160,Sutton,Male,13/02/1968,false,mastercard
161,Leta,Female,26/05/1981,true,jcb
162,Laney,Female,26/06/1969,true,diners-club-carte-blanche
163,Forester,Male,03/02/1997,true,switch
164,Lane,Male,11/05/1969,true,jcb
165,Eddi,Female,19/12/1990,true,visa
166,Gus,Female,10/10/1971,false,jcb
167,Jemmie,Female,27/04/1961,false,
168,Kimbell,Male,21/05/1988,false,
169,Rosene,Female,13/12/1977,true,jcb
170,Dolorita,Female,27/04/1971,false,mastercard
171,Gwenneth,Female,27/03/1994,false,diners-club-carte-blanche
172,Nolan,Male,29/03/1973,false,visa-electron
173,Nevin,Male,26/05/1982,true,jcb
174,Terencio,Male,13/04/1987,true,jcb
175,Glad,Female,13/04/1975,true,diners-club-carte-blanche
176,Stacee,Male,01/01/1980,false,china-unionpay
177,Virgilio,Male,26/05/1960,true,diners-club-carte-blanche
178,Antonio,Male,12/02/1984,true,mastercard
179,Othella,Female,19/10/1956,false,jcb
180,Cristionna,Female,23/05/1982,true,switch
181,Jaye,Male,31/03/1958,false,jcb
182,Rea,Female,22/03/1975,false,jcb
183,Daveta,Female,22/12/1981,true,mastercard
184,Pavla,Female,19/02/1969,false,maestro
185,Benjie,Male,06/04/1970,true,jcb
186,Chic,Male,14/12/1983,false,americanexpress
187,Iver,Male,25/07/1985,true,jcb
188,Jackson,Male,27/03/1972,true,jcb
189,Ealasaid,Female,17/05/1966,false,jcb
190,Annmaria,Female,20/12/1982,true,
191,Gunar,Male,04/03/1976,true,bankcard
192,Iormina,Female,22/03/1975,true,maestro
193,Jessee,Male,17/08/1970,false,diners-club-us-ca
194,Elmore,Male,16/06/1989,false,jcb
195,Cissy,Female,19/09/1998,false,americanexpress
196,Dannie,Male,02/08/2000,false,jcb
197,Rinaldo,Male,30/06/1988,false,jcb
198,Byrann,Male,11/12/1995,false,china-unionpay
199,Rayner,Male,21/02/1953,true,visa-electron
200,Ashlin,Male,26/08/1983,false,jcb
201,Michail,Male,13/05/1980,true,solo
202,Indira,Female,22/09/1962,true,americanexpress
203,Maxwell,Male,03/06/1962,true,visa-electron
204,Dulcy,Female,16/01/1974,false,
205,Rubi,Female,29/06/1983,false,jcb
206,Ximenes,Male,07/07/1962,true,jcb
207,Nance,Female,08/01/1967,true,jcb
208,Tabbie,Female,05/04/1983,true,jcb
209,Yankee,Male,17/01/1993,false,mastercard
210,Fredericka,Female,17/03/1953,false,jcb
211,Noella,Female,05/04/1982,false,jcb
212,Findlay,Male,04/02/1982,true,diners-club-us-ca
213,Lisette,Female,21/03/1995,true,visa
214,Armand,Male,01/05/1954,true,maestro
215,Kare,Female,26/02/1990,false,mastercard
216,Elsbeth,Female,21/04/1980,true,
217,Gianina,Female,02/09/1961,true,jcb
218,Constantin,Male,09/04/1983,true,maestro
219,Keir,Male,31/10/1991,true,mastercard
220,Bettye,Female,20/01/1995,false,switch
221,Harold,Male,27/08/1990,false,diners-club-carte-blanche
222,Geraldine,Female,26/04/1978,false,instapayment
223,Kala,Female,28/07/1971,false,bankcard
224,Lock,Male,09/03/1992,false,jcb
225,Sibelle,Female,02/08/1950,true,
226,Morley,Male,22/11/1971,true,
227,Jimmy,Male,12/04/1977,false,jcb
228,Perkin,Male,21/01/1968,true,maestro
229,Corabel,Female,21/01/1980,true,maestro
230,Heriberto,Male,09/12/1957,true,
231,Maje,Male,16/09/1977,true,jcb
232,Gherardo,Male,23/01/1990,true,jcb
233,Clive,Male,08/11/1979,false,
234,Linet,Female,20/09/1990,true,china-unionpay
235,Alair,Male,29/06/1958,true,jcb
236,Ced,Male,04/11/1953,false,jcb
237,Mindy,Female,09/09/1963,true,jcb
238,Obie,Male,04/02/1982,true,switch
239,Tommie,Female,30/06/1969,true,jcb
240,Maybelle,Female,13/01/1975,false,
241,Maxine,Female,01/08/1995,false,diners-club-carte-blanche
242,Glori,Female,15/03/1963,false,maestro
243,Amerigo,Male,15/02/1984,false,jcb
244,Timmy,Male,01/12/1984,false,jcb
245,Anya,Female,28/10/1972,false,jcb
246,Amandie,Female,11/12/1953,false,jcb
247,Jan,Female,27/05/1959,false,diners-club-us-ca
248,Debby,Female,11/07/1966,false,instapayment
249,Roanne,Female,29/05/1989,true,jcb
250,Daveen,Female,07/06/1959,false,americanexpress
251,Baudoin,Male,21/02/1962,false,maestro
252,Irena,Female,05/01/1966,true,jcb
253,Kimberlyn,Female,26/09/1998,false,
254,Milka,Female,08/10/1963,false,jcb
255,Leonhard,Male,27/08/1958,false,switch
256,Merla,Female,19/09/1991,false,jcb
257,Cornall,Male,01/03/1983,false,mastercard
258,Jackie,Female,03/12/1954,true,americanexpress
259,Trisha,Female,21/08/1991,true,china-unionpay
260,Myra,Female,25/04/1988,false,mastercard
261,Milka,Female,28/01/1958,true,visa
262,Mariann,Female,08/10/1953,false,americanexpress
263,Petronia,Female,30/09/1989,true,jcb
264,Carlee,Female,20/04/1963,false,jcb
265,Domingo,Male,06/07/1983,false,americanexpress
266,Leonelle,Female,25/06/1989,false,maestro
267,Rock,Male,19/08/1970,false,maestro
268,Aili,Female,28/09/1959,false,switch
269,Hodge,Male,31/12/1960,true,jcb
270,Adoree,Female,06/11/1960,false,jcb
271,Karlotte,Female,19/02/1997,true,jcb
272,Celie,Female,23/10/1950,true,jcb
273,Walliw,Female,21/07/1996,true,jcb
274,Tucky,Male,14/02/1966,true,jcb
275,Erroll,Male,09/11/1951,false,jcb
276,Sabra,Female,29/01/1974,false,jcb
277,Vinnie,Male,06/08/1978,false,switch
278,Janaya,Female,07/03/1968,false,diners-club-enroute
279,Avie,Female,12/06/1992,true,switch
280,Brigida,Female,23/12/1976,true,jcb
281,Coraline,Female,17/05/1959,false,
282,Mahala,Female,21/05/1965,false,mastercard
283,Layton,Male,03/12/1995,true,visa-electron
284,Ruperta,Female,22/02/1985,false,jcb
285,Tobit,Male,20/08/1974,false,jcb
286,Dallas,Female,02/10/1985,true,maestro
287,Tasia,Female,08/04/1976,false,jcb
288,Quint,Male,06/07/1981,false,solo
289,Nadiya,Female,23/12/1954,false,jcb
290,Brocky,Male,13/12/1997,false,jcb
291,Cyrillus,Male,13/09/1996,true,
292,Clywd,Male,09/08/1961,true,china-unionpay
293,Mel,Female,03/02/1987,false,jcb
294,Vincents,Male,16/12/1982,false,
295,Conway,Male,17/06/1954,false,jcb
296,Mureil,Female,04/09/1996,false,
297,Imogene,Female,26/05/1970,false,switch
298,Baird,Male,16/09/1960,false,mastercard
299,Kort,Male,25/12/1972,true,jcb
300,Wilow,Female,16/12/1985,false,jcb
301,Randy,Female,06/07/1993,false,jcb
302,Laurent,Male,23/12/1967,true,mastercard
